ID,source text,Arabic translation,category,context,glossary terms used,notes
EL_M01_E02_1000_Summary,依頼の品を回収したエリオットは\nヒューザー王国への帰路につく。,بعد استعادة غرض المهمة،\nيبدأ إليوت رحلة العودة إلى مملكة هيوزر.,quest_description,,エリオット,
EL_Tutorial_ArenaOpen_01_1_Text,"""試練は冒険を進めると解放されるので\n<img id=""""RI_ICON_BattleArenaUpdate""""/>マークが出たら行ってみよう！\n\nクリアすれば特別な報酬が手に入るぞ。""","""ستُفتح المحن مع تقدمك في المغامرة،\nلذا اذهب عندما تظهر علامة <img id=""""RI_ICON_BattleArenaUpdate""""/>!\n\nوعند إتمامها ستحصل على مكافآت خاصة.""",quest_description,,,
EL_45764F984994A3F330D81791BA715330,「くそ…、よくもうちの農園を荒らしやがって…！」<cf>「今後の生活どうすれば良いんだよ…」<cf>「助けてくれたら、良い報酬を渡すぜ」,«سحقًا… كيف تجرؤون على تخريب مزرعتي…!»<cf>«كيف سأتدبر شؤون حياتي من الآن فصاعدًا…»<cf>«إن ساعدتني، فسأمنحك مكافأة مجزية»,quest_description,,,
EL_NPC4200_P090_M010_NPC4200_m,また、冒険に出るのか？　……と言いたいが、\nその面構えからして、簡単な依頼じゃないらしいな。,هل ستذهب في مغامرة أخرى؟……كنت أود قول هذا،\nولكن من ملامح وجهك، يبدو أنها ليست مهمة سهلة.,quest_description,,,
EL_M01_E03_2000,城下町に戻る主人公。依頼人に「櫛」を渡す\n孤児たちとの戯れも束の間、城に呼び出される。,"يعود البطل إلى بلدة القلعة ويسلم ""المشط"" لصاحب الطلب.\nولكن وقت لهوه مع الأيتام لا يدوم طويلاً، حيث يُستدعى إلى القلعة.",quest_description,,,
EL_NPC4330_P050_M010_NPC4330_m,お前、最近よく城に出入りしてるみたいじゃないか。\n何か大変な依頼でも受けているのか？,تبدو كأنك تتردد كثيرًا على القلعة مؤخرًا.\nهل قبلت مهمة شاقة ما؟,quest_description,,,
EL_S02_N23_3000_M100_NPC0150_f,報酬は私から出しましょう。\n今の気持ちを、決して忘れないでくださいね。,سأقدم لك المكافأة بنفسي.\nأرجو ألا تنسى مشاعرك الحالية أبدًا.,quest_description,,,
EL_PCM0001_P010_M010_PCM0001_m,……受けた依頼は先に済ませないとな。\nまずは、蛮族を倒しにいこう。,...عليّ إنجاز المهمة التي قبلتها أولاً.\nلنذهب ونهزم البرابرة بدايةً.,quest_description,,,
EL_S04_N24_5000_M190_NPC4200_00_m,依頼の件、ほんとにありがとな。\nまた何かあったら、よろしく頼むぜ。,شكرًا جزيلاً لك على تلبية الطلب.\nإذا حدث أي شيء مجددًا، سأعتمد عليك.,quest_description,,,
EL_M06_E25_1100_M030_NPC0010_f,自分の足で歩いて、依頼をこなす……\nこれが冒険家のお仕事なのね。,السير على الأقدام، وإنجاز الطلبات…\nهذا هو عمل المغامرين حقًا.,quest_description,,,
EL_NPC4340_P010_M010_NPC4340_m,ひい、ふう、みい……\nうーん、今回の依頼の報酬は今イチだったな。,واحد، اثنان، ثلاثة…\nهمم، لم تكن مكافأة هذه المهمة مجزية للغاية.,quest_description,,,
EL_S02_N32_1000_M040_NPC2101_00_m,なに、簡単な依頼だ。\nとある人物が来たら、追い払ってほしいんだ。,إنها مهمة بسيطة فحسب.\nأريدك أن تطرد شخصًا معينًا إذا جاء إلى هنا.,quest_description,,,
EL_M06_E23_1000_M110_PCM000_m,約束する。必ず戻るよ。\n俺は冒険家として、依頼をまっとうする。,أعدك بأنني سأعود.\nبصفتي مغامرًا، سأنجز هذه المهمة على أكمل وجه.,quest_description,,,
EL_S02_N23_2000_M310_NPC0160_m,報酬はなしだ。\nそして、もし次に邪魔するなら容赦はしない。,لن تكون هناك مكافأة.\nوإذا وقفت في طريقي مجددًا، فلن أرحمك.,quest_description,,,
EL_PLACT_Z25_A_M010,先に依頼を済ませよう。\n爺さんが落とした物を探さないと。,دعنا ننجز الطلب أولاً.\nعلينا البحث عن الأغراض التي أضاعها العجوز.,quest_description,,,
EL_S04_N24_1000_M140_NPC4200_00_m,……おっと、依頼の話だった。\nどうだ？　受けてくれるか？,...عذرًا، كنا نتحدث عن المهمة.\nما رأيك؟ هل ستقبلها؟,quest_description,,,
EL_M01_E10_1000_M400_PCM000_m,……わかりました。\nその依頼、謹んでお受けいたします。,...حسنًا،فهمت.\nأقبل هذه المهمة بكل سرور.,quest_description,,,
EL_S04_N06_3400_M020_NPC0030_m,感謝の気持ちを込めて\n特別に報酬も弾んでおいたからな。,تعبيرًا عن تقديرنا لك،\nلقد زدنا مكافأتك بشكل خاص.,quest_description,,,
EL_Tutorial_Minigame_Warp_01_3_Text,"""操作方法\n　<btn id=""""IconRStick""""/>フェイの移動\n　<btn id=""""SupportAction""""/>ワープ\n\n　<btn id=""""IconLStick""""/>エリオットの移動\n　<btn id=""""Jump""""/>ジャンプ\n　<btn id=""""SupportActionReturn""""/>フェイを呼ぶ""","""طريقة التحكم\n <btn id=""""IconRStick""""/> تحريك فاي\n <btn id=""""SupportAction""""/> الانتقال الآني\n\n <btn id=""""IconLStick""""/> تحريك إليوت\n <btn id=""""Jump""""/> القفز\n <btn id=""""SupportActionReturn""""/> استدعاء فاي""",tutorial,,"エリオット,フェイ",
EL_Tutorial_Minigame_Clone_01_3_Text,"""操作方法\n　<btn id=""""IconRStick""""/>フェイの移動\n\n　<btn id=""""IconLStick""""/>エリオットの移動\n　<btn id=""""Attack1""""/>攻撃\n　<btn id=""""Jump""""/>ジャンプ\n　<btn id=""""SupportActionReturn""""/>フェイを呼ぶ""","""طريقة التحكم\n <btn id=""""IconRStick""""/> تحريك فاي\n\n <btn id=""""IconLStick""""/> تحريك إليوت\n <btn id=""""Attack1""""/> الهجوم\n <btn id=""""Jump""""/> القفز\n <btn id=""""SupportActionReturn""""/> استدعاء فاي""",tutorial,,"エリオット,フェイ",
EL_Tutorial_Minigame_Attract_01_3_Text,"""操作方法\n　<btn id=""""IconRStick""""/>フェイの移動\n　<btn id=""""SupportAction""""/>キューイン発動/キューインを止める\n\n　<btn id=""""IconLStick""""/>エリオットの移動\n　<btn id=""""Attack1""""/>攻撃""","""طريقة التحكم\n <btn id=""""IconRStick""""/> تحريك فاي\n <btn id=""""SupportAction""""/> تفعيل الامتصاص / إيقافه\n\n <btn id=""""IconLStick""""/> تحريك إليوت\n <btn id=""""Attack1""""/> الهجوم""",tutorial,,"エリオット,フェイ",
EL_MainMenu2PJoinMsg_PS5,"""『ふたりプレイ』ではプレイヤー２が\nフェイを操作できます。\n\n開始する場合は、\nプレイヤー２が使用するワイヤレスコントローラーで\n<btn id=""""MenuDecide""""/>を押してください。""","""في """"اللعب الثنائي""""، يمكن للاعب الثاني\nالتحكم في فاي.\n\nللبدء،\nيرجى الضغط على <btn id=""""MenuDecide""""/> باستخدام أداة التحكم اللاسلكية\nالتي يستخدمها اللاعب الثاني.""",tutorial,,"フェイ,コントローラー",
EL_MainMenu2PJoinMsg,"""『ふたりプレイ』ではプレイヤー２が\nフェイを操作できます。\n\n開始する場合は、\nプレイヤー２が使用するコントローラーで\n<btn id=""""MenuDecide""""/>を押してください。""","""في """"اللعب الثنائي""""، يمكن للاعب الثاني\nالتحكم في فاي.\n\nللبدء،\nيرجى الضغط على <btn id=""""MenuDecide""""/> باستخدام أداة التحكم\nالتي يستخدمها اللاعب الثاني.""",tutorial,,"フェイ,コントローラー",
EL_Tutorial_Revive_01_1_Text,"""お金があれば、フェイの力で復活できる！\n\n<btn id=""""MenuGameoverHold""""/>を長押しして、フェイに復活を頼もう。""","""إذا كنت تملك المال، يمكنك العودة للحياة بفضل قوة فاي!\n\nاضغط مع الاستمرار على <btn id=""""MenuGameoverHold""""/> لتطلب من فاي إحياءك.""",tutorial,,"フェイ,お金",
EL_Tutorial_FairyAbilityClone_01_1_Text,"""エリオットの姿と動きの真似ができる。\n\n<btn id=""""IconRStick""""/>で変身したフェイだけを動かすことも可能だ。""","""يمكنها تقليد مظهر وحركات إليوت.\n\nمن الممكن أيضًا تحريك فاي المتحولة وحدها باستخدام <btn id=""""IconRStick""""/>.""",tutorial,,"エリオット,フェイ",
EL_TitleNewGameTransferItems,クリアデータから一部をのぞく所持品、魔石、お金などを引き継ぎ、\n物語を最初からプレイすることができます。,يمكنك بدء القصة من جديد مع نقل ممتلكاتك، وحجر السحر، والأموال، باستثناء بعض العناصر،\nمن بيانات الحفظ المكتملة.,system_message,,"魔石,お金",
EL_NPC1014_P025_M010_NPC1014_f,里長やヒルク様、リュドミラ様が集まって会合中です。\n大事な話をしていますので、部外者はご遠慮ください。,يجتمع زعيم القرية والسيدة هيلك والسيدة ليودميلا حاليًا لإجراء اجتماع.\nإنهم يناقشون أمورًا مهمة، لذا يُرجى من غير المعنيين عدم الدخول.,system_message,,"リュドミラ,ヒルク",
EL_NPC0010_P010_M010_NPC0010_f,この場所で、私は加護の魔法を街中に送っています。\nそのため、城をあまり離れることができません。,في هذا المكان، أقوم بنشر سحر البركة في أنحاء المدينة.\nولهذا السبب، لا يمكنني مغادرة القلعة كثيرًا.,system_message,,"魔法,加護",
EL_SPM01_E04_2000_A_M01_NPC0010_f,城壁――魔法の加護の外に出ました。\n蛮族や魔物に気をつけてください。,لقد خرجنا وراء الأسوار — خارج حدود سحر البركة.\nيُرجى الحذر من البرابرة والوحوش.,system_message,,"魔法,加護",
EL_M05_SA2MGC_E06_1000_M080_NPC0190_m,ありがとうございました、エリオットさん。\nマオに伝えてください。,شكراً جزيلاً لك يا سيد إليوت.\nيرجى إيصال هذا إلى ماو.,system_message,,"エリオット,マオ",
EL_M01_E07_1100_M060_NPC0010_f,いたずら好きのネコちゃんですね。\nどうしますか、エリオット？,إنه قط صغير مشاكس.\nماذا ستفعل يا إليوت؟,system_message,,"エリオット,ネコ",
EL_Tutorial_AirCombat_01_1_Text,"""<btn id=""""SupportAction""""/>でクレイドルが火球を飛ばして攻撃。\n<btn id=""""SupportAction""""/>長押しで、必殺技を放つぞ！\n\n<btn id=""""IconRStick""""/>で目印となるフェイを動かして、\nディマイズを狙おう。""","""اضغط على <btn id=""""SupportAction""""/> لتطلق مهد النيران كرات لهب مهاجمة.\nاضغط مع الاستمرار على <btn id=""""SupportAction""""/> لإطلاق ضربة قاضية!\n\nحرك فاي باستخدام <btn id=""""IconRStick""""/> لتحديد الهدف\nوالتصويب نحو ديمايز.""",tutorial,,フェイ,
EL_Tutorial_FairyShortcut_01_1_Text,"""<btn id=""""SupportCharacterAbilityShortCut""""/>で、フェイの能力を切り替えられる！\n\n他にも、このメニューを開かずに切り替える方法もある。\n『システム＞設定』で変更できるのでお好みで。""","""يمكنك تبديل قدرات فاي بالضغط على <btn id=""""SupportCharacterAbilityShortCut""""/>!\n\nهناك طرق أخرى للتبديل دون فتح هذه القائمة.\nيمكنك تغيير هذا من «النظام > الإعدادات» حسب تفضيلك.""",tutorial,,フェイ,
EL_Tutorial_Minigame_Fire_01_3_Text,"""操作方法\n　<btn id=""""IconRStick""""/>フェイの移動\n　<btn id=""""SupportActionReturn""""/>フェイを呼ぶ""","""طريقة التحكم\n <btn id=""""IconRStick""""/> تحريك فاي\n <btn id=""""SupportActionReturn""""/> استدعاء فاي""",tutorial,,フェイ,
EL_Tutorial_FairyAbilityFire_01_1_Text,"""燭台に火をつけたり、敵を炎で燃やすことができる。\n\n<btn id=""""IconRStick""""/>でフェイを自由に動かしてみよう。""","""يمكن إشعال الشمعدانات وحرق الأعداء بالنيران.\n\nجرب تحريك فاي بحرية باستخدام <btn id=""""IconRStick""""/>.""",tutorial,,フェイ,
EL_261BC5F249E4A63821914EB7FE8A5980,プレイデータの収集期間は終了しました。<cf>ネックワーク接続をオンにすることはできません。,لقد انتهت فترة جمع بيانات اللعب. <cf>لا يمكن تفعيل الاتصال بالشبكة.,system_message,,オン,
EL_S04_N24_4000_M250_NPC2210_m,積み荷なんて、お金を出せばまた買えます。\nでも人との出会い、繋がりは買うことができません。,يمكن شراء البضائع بالمال مرة أخرى.\nولكن لا يمكن شراء لقاءات الناس وروابطهم أبدًا.,system_message,,お金,
EL_M05_E06_1000_M080_NPC0080_f,あの……ヒルクさん、前にも言いましたが\n『様』ではなく『さん』で、お願いできませんか？,عذرًا… يا هيلك، وكما أخبرتُكِ سابقًا،\nألا يمكنكِ مناداتي باسمي دون كلفة؟,system_message,,ヒルク,
EL_M05_A2MGC_E01_1000_M080_NPC0150_f,マーニーが暴走を止めるために現地へ向かいました。\nどうか彼女を助けてやってください。,لقد توجهت مارني إلى الموقع لإيقاف الهيجان.\nأرجوك أن تذهب وتساعدها.,system_message,,マーニー,
EL_SPS03_N11_2000_A_M01_NPC0010_f,まずは、爆弾を使って蛮族を倒しましょう。\n使うときは、くれぐれも注意してくださいね。,أولاً،دعنا نستخدم القنابل لهزيمة البرابرة.\nيرجى توخي الحذر الشديد عند استخدامها.,system_message,,爆弾,
EL_29CB2FAA4CF3FC88D7876A8C04643443,獲得したレコードとスコアは<cf>なくなります。<cf><cf>やりなおしますか？,ستفقد التسجيلات والنتيجة التي حققتها. <cf>هل تريد البدء من جديد؟ <cf><cf>,system_message,,スコア,
EL_NPC4401_P080_M010_NPC4401_f,エリオットさん、先日の兵士たちとの食事会で\nふるまわれた肉料理を覚えていますか？,يا سيد إليوت، هل تتذكر طبق اللحم الذي قُدم في المأدبة\nمع الجنود قبل أيام؟,system_message,,エリオット,
EL_Tutorial_Minigame_Dash_01_3_Text,"""操作方法\n　<btn id=""""IconLStick""""/>エリオットの移動""","""طريقة التحكم\n <btn id=""""IconLStick""""/> تحريك إليوت""",tutorial,,エリオット,
EL_M05_E07_1000,マオたちのいる家に着いたエリオットはリュドミラと話をする\n「ミュー族と人が共生する未来」が神獣を封印した三賢者の願い、という会話の「封印」という単語にフェイが反応。リュドミラは、「封印」については三賢者であれば詳しいことを知っているかもしれないと話し、「白銀の鈴（仮）」をエリオットに渡す,"يصل إليوت إلى المنزل الذي تتواجد فيه ماو ويتحدث مع ليودميلا.\nتتفاعل فاي مع كلمة ""ختم"" عندما تذكر ليودميلا أن ""مستقبلاً يتعايش فيه عرق ميو مع البشر"" كان رغبة الحكماء الثلاثة الذين ختموا الوحش الإلهي. تخبره ليودميلا أن الحكماء الثلاثة قد يعرفون تفاصيل الختم، وتسلم ""الجرس الفضي"" لإليوت.",dialogue,,"エリオット,フェイ,マオ,ミュー,リュドミラ",
EL_M02_E12_1000,ヒューリアは祈りの間で加護の魔法を使っていた。身体を心配する主人公\nヒューリアは加護の盾に気づき魔法を解読する。が、氷結の呪いが強まり意識を失う,كان هيوريا تستخدم سحر البركة في قاعة الصلاة. يقلق البطل على صحتها.\nتلاحظ هيوريا درع البركة وتقوم بفك شفرة السحر. ولكن، تشتد لعنة التجميد وتفقد وعيها.,dialogue,,"ヒューリア,魔法,加護,祈りの間,盾",
EL_M06_E07_1000,王に謁見する主人公。王の昔話からカータを保護した際に一緒にいた赤ん坊に「エリオット」\nと名づけたのだという。つまりカーターがエリオットの父親である事、マオは自分の母親であることも判明。困惑するエリオットはそれならば墓もなくなっているはずだ、とエルダーツリーの下にあった墓へ向かうことにする,يقابل البطل الملك. ومن قصة الملك القديمة، يتضح أنه أطلق اسم «إليوت»\nعلى الطفل الرضيع الذي كان برفقة كارتر عند إنقاذه. وهذا يعني أن كارتر هو والد إليوت، وأن ماو هي والدته. يقع إليوت في حيرة من أمره، ويقرر الذهاب إلى القبر الذي كان تحت شجرة إيلدر، ظنًا منه أنه لا بد أن يكون قد اختفى الآن.,dialogue,,"エリオット,マオ,カーター,エルダーツリー",
EL_M05_E06_1000,人を信じて魔法の力を託すことにしたリュドミラ。\nこれから家に帰るというリュドミラは、よかったら家で話さないかとエリオットに提案。リュドミラは先に家へと戻る。エリオットもリュドミラを追って、マオたちのいる家へと向かう。,تقرر ليودميلا أن تثق بالبشر وتعهد إليهم بقوة السحر.\nوتقترح على إليوت الذهاب للتحدث في منزلها. تعود ليودميلا أولاً، ويتبعها إليوت متجهًا إلى البيت الذي تتواجد فيه ماو ورفاقها.,dialogue,,"エリオット,マオ,リュドミラ,魔法",
EL_NPC4324_P010_M010_NPC4324_m,ヒューリア様は普段は『祈りの間』にいらっしゃる。\nそこで街中に加護の魔法を送っておられるのだ。,تتواجد السيدة هيوريا عادةً في «قاعة الصلاة».\nومن هناك، تقوم بنشر سحر البركة في أنحاء المدينة.,dialogue,,"ヒューリア,魔法,加護,祈りの間",
EL_NPC4327_P080_M010_NPC4327_m,この頃は、ミュー族の方々も祈りの間に来られてな、\n加護の魔法の維持に協力してくれているんだ。,في الآونة الأخيرة، يأتي أفراد من عرق ميو أيضًا إلى قاعة الصلاة\nويساعدوننا في الحفاظ على سحر البركة.,dialogue,,"ミュー,魔法,加護,祈りの間",
EL_M02_E11_1000_M100_NPC0020_m,おそらくね。加護の魔法は、ヒューリア様が\n祈りの間から魔力を注ぐことで動いている。,على الأرجح. يعمل سحر البركة عن طريق صب السيدة هيوريا\nلقوتها السحرية من قاعة الصلاة.,dialogue,,"ヒューリア,魔法,加護,祈りの間",
EL_M06_E10_1000,カータに姫の私室から持ってきたペンダントを見せる\nマオのペンダントであることにカーターが驚く。これを見せれば心を取り戻すきっかけになるのではないかと憶測。これを持ってバケネコと対峙することを決意する,يعرض على كارتر القلادة التي أحضرها من غرفة الأميرة الخاصة.\nيتفاجأ كارتر بأنها قلادة ماو. ويتوقع أن عرضها قد يساعدها على استعادة صوابها. ويقرر أخذها لمواجهة القطة الوحشية.,dialogue,,"マオ,カーター,ネコ",
EL_M05_A1MGC_E03_2000,リュドミラとゴギョウが亡くなる。ヒルク支持者、カイ支持者の間で起きた乱闘によって\n火災が起こったとのこと。エリオットは目の前で起こった惨劇に愕然とする,وفاة ليودميلا وغوغيو. قيل إن حريقًا قد اندلع بسبب شجار وقع بين مؤيدي هيلك ومؤيدي كاي.\nيصاب إليوت بالذهول والدهشة من المأساة التي حدثت أمامه.,dialogue,,"エリオット,リュドミラ,ヒルク",
EL_M05_E01_1000,祈りの間にいる学者に会いに行く。祈りの間はほぼ氷漬け状態となっていた\nミュー族がかけた氷結の呪いについて、術者を特定する為「魔法の針」を探すことに,"يذهب لمقابلة العالِم في قاعة الصلاة. كانت القاعة متجمدة بالكامل تقريبًا.\nولمعرفة من ألقى لعنة التجميد التي فرضها شعب ميو، يقرر البحث عن ""الإبرة السحرية"".",dialogue,,"ミュー,魔法,祈りの間",
EL_M03_E10_1000,カーターを探すマオとエリオット、マオは廃屋の裏側を探しに行く\nするとちょうどウルヴ族が現れ、エリオットとウルヴ族の戦闘へ,تبحث ماو وإليوت عن كارتر، وتذهب ماو للبحث خلف المنزل المهجور.\nفي تلك اللحظة يظهر أفراد من قبيلة أولف، ويبدأ القتال بين إليوت والقبيلة.,dialogue,,"エリオット,マオ,カーター",
EL_M04_E02_1000,エリオットはイカロスと話しているファウスタを見つける\nイカロスとファウスタが「新型コア」にの危険性について話している,يجد إليوت فاوستا تتحدث مع إيكاروس.\nيتحدث إيكاروس وفاوستا عن خطورة «النواة الجديدة».,dialogue,,"エリオット,イカロス,ファウスタ",
EL_M02_E12_2000,盾に魔力を注ぎ込むため、魔法の時代（Age2）に向かう事を決意\n再建の時代（Age3）でエルダーゲートを探すことに,يقرر الذهاب إلى عصر السحر (العصر 2) لصب القوة السحرية في الدرع.\nويبدأ بالبحث عن بوابة إيلدر في عصر إعادة الإعمار (العصر 3).,dialogue,,"魔法,再建,盾",
EL_M03_E06_1000,大魔法時代というのは魔力が全てのすごい時代だったという事を再確認\n加護の盾に魔力を戻す方法も見つかるかもしれない,يعيد التأكيد على أن عصر السحر العظيم كان حقبة مذهلة حيث السحر هو كل شيء.\nوقد نجد طريقة لإعادة القوة السحرية إلى درع البركة.,dialogue,,"魔法,加護,盾",
EL_M03_E09_1000,カーターにマオの正体を聞く。マオはミュー族の末裔であることが分かる\nカーターはマオの事を一人にしておけないらしい,يسأل كارتر عن حقيقة ماو. ويكتشف أن ماو هي من سلالة ميو.\nكارتر لا يمكنه ترك ماو وحيدة.,dialogue,,"マオ,ミュー,カーター",
EL_M02_E11_1000,学者の元に戻ってきた。盾には何らかの魔法がかけられていることが分かる\nまずはヒューリアのお見舞いをすることに,يعود إلى العالِم. يتضح أن الدرع ملقى عليه تعويذة سحرية ما.\nيقرر أولاً الذهاب للاطمئنان على صحة هيوريا.,dialogue,,"ヒューリア,魔法,盾",
EL_M03_E11_1000,マオとカーターは仲直り、２人で暮らす事を決意する。\nお礼に盾に魔力を込めてもらい、月鏡の盾の魔力が復活する,يتصالح كارتر وماو ويقرران العيش معًا.\nوكعربون شكر،تصب ماو سحرها في الدرع، مما يعيد تنشيط قوة درع مرآة القمر.,dialogue,,"マオ,カーター,盾",
EL_M04_E01_1000,マーニーとヒルデブラント（悪研究所所長）がもめている\nどうやらカーターの居場所を嗅ぎまわっているらしい,نشوب خلاف بين مارني وهيلدبراند (مدير معهد الأبحاث الشرير).\nويبدو أنهما يبحثان عن مكان وجود كارتر.,dialogue,,"カーター,ヒルデブラント,マーニー",
EL_NPC0180_P200_M020_NPC0180_f,ファウスタ所長は、イカロス様の館から戻ってません。\nヒルデブラントも交えて協議しているそうですよ。,لم تعد المديرة فاوستا من قصر السيد إيكاروس بعد.\nسمعت أنهم يتناقشون مع هيلدبراند أيضًا.,dialogue,,"イカロス,ヒルデブラント,ファウスタ",
EL_NPC0020_P125_M020_NPC0020_f,魔力の集め方だけど、実は加護の魔法は祈りの間から\n魔法の糸を通して城壁まで送られているんだ。,بخصوص كيفية جمع القوة السحرية، في الواقع يتم إرسال سحر البركة من قاعة الصلاة\nإلى الأسوار عبر خيوط سحرية.,dialogue,,"魔法,加護,祈りの間",
EL_M01_E03_1000_M040_NAL000_n,人間たちは、強い魔力を持つヒューリア姫の\n魔法の加護により大陸の一角に王国を維持していた。,بفضل سحر البركة الخاص بالأميرة هيوريا التي تملك قوة سحرية هائلة،\nتمكن البشر من الحفاظ على مملكتهم في جزء من القارة.,dialogue,,"ヒューリア,魔法,加護",
EL_M06_E12_1000_M270_PCM000_m,月鏡の盾には、マオの魔力がこめられてる。\nそしてペンダントには、リュドミラさんの魔力が……,درع مرآة القمر يحتوي على سحر ماو.\nبينما القلادة تحتوي على سحر السيدة ليودميلا...,dialogue,,"マオ,リュドミラ,盾",
EL_SCN_0030_FLAVOR,エリオットが身につけているイヤリング。\nヒューリア姫の魔法が切れ、光が消えようとしている。,القرط الذي يرتديه إليوت.\nيوشك نوره على الانطفاء مع تلاشي سحر الأميرة هيوريا.,dialogue,,"エリオット,ヒューリア,魔法",
EL_SPS04_N35_1000_A_M01_FYL000_f,ユイジーヌは、エリオットの一番の友だちだもんね。\nカーターにもちゃんと紹介してあげなきゃ！,يوجين هو أعز أصدقاء إليوت بالفعل.\nيجب أن أعرفه بكارتر بشكل مناسب!,dialogue,,"エリオット,カーター,ユイジーヌ",
EL_M04_E15_3000_M130_PCM000_m,俺たちの時代に、強い魔力を持ったミュー族がいる。\nそいつがヒューリアに魔法をかけたんだ。,في عصرنا هذا، هناك شخص من عرق ميو يملك قوة سحرية هائلة.\nهو من ألقى هذه التعويذة على هيوريا.,dialogue,,"ミュー,ヒューリア,魔法",
EL_NPC2310_P040_M010_NPC2310_f,ファウスタ所長と協力して、魔法のヴェールを応用した\n新たな盾をつくる研究を始めたんです。,بالتعاون مع المديرة فاوستا، بدأنا البحث لتطوير\nدرع جديد يطبق الستار السحري.,dialogue,,"ファウスタ,魔法,盾",
EL_NPC4002_P020_M020_NPC4002_m,ヒューリア様が無事なことを祈るばかりだよ。\nなんたって、加護の魔法の恩恵は大きいからな。,لا يسعني سوى الدعاء لسلامة السيدة هيوريا.\nفبعد كل شيء، نحن مدينون بفضل كبير لسحر البركة.,dialogue,,"ヒューリア,魔法,加護",
EL_SCN_0020_FLAVOR,エリオットが身につけているイヤリング。\nヒューリア姫の魔法がかけられ、遠隔で話ができる。,القرط الذي يرتديه إليوت.\nملقى عليه سحر الأميرة هيوريا، مما يتيح التحدث معها عن بُعد.,dialogue,,"エリオット,ヒューリア,魔法",
EL_M05_A2MGC_E03_1200_Summary,聖剣ライトスタッフを手にしたエリオットは\nノイーワンを再訪し、封魔の奥義を習得する。,بعد حصوله على السيف المقدس عصا الضوء،يزور إليوت نويوان مجددًا\nويتعلم التقنية السرية لختم الشياطين.,dialogue,,"エリオット,ライトスタッフ,剣",
EL_M06_E08_4000_M080_PCM000_m,北の白楼でヒューリアを――いや、すべての人間を\n呪っているのは、魔獣と化したマオだ。,الشخص الذي يلعن هيوريا — بل البشرية جمعاء — في البرج الأبيض الشمالي\nهي ماو التي تحولت إلى وحش سحري.,dialogue,,"マオ,ヒューリア,魔獣",
EL_NPC0150_P050_M020_NPC0150_f,街の中にある魔法のヴェール……加護の魔法と\n呼ばれるものを使って盾をつくるんですよ。,نحن نصنع درعًا باستخدام الستار السحري الموجود في المدينة...\nوالذي يُعرف بسحر البركة.,dialogue,,"魔法,加護,盾",
EL_NPC3003_P050_M010_NPC3003_m,ヒューリックの持ってた盾、かっこよかったよな。\n魔法には、あんな力もあるんだなあ……,كان الدرع الذي يحمله هيوريك رائعًا حقًا.\nلم أكن أعلم أن السحر يملك مثل هذه القوة...,dialogue,,"ヒューリック,魔法,盾",
EL_NPC4014_P030_M010_NPC4014_f,加護の魔法が弱くなっているみたい……\nそんなにヒューリア様は体調が良くないのかしら？,يبدو أن سحر البركة يضعف...\nهل صحة السيدة هيوريا معتلة إلى هذا الحد؟,dialogue,,"ヒューリア,魔法,加護",
EL_NPC4400_P050_M010_NPC4400_f,体が凍りつく前、姫様は加護の魔法を絶やさぬよう、\n祈りの間にいることを選んだのです。,قبل أن يتجمد جسدها، اختارت الأميرة البقاء في قاعة الصلاة\nلضمان عدم انقطاع سحر البركة.,dialogue,,"魔法,加護,祈りの間",
EL_S04_N06_1000_M020_NPC0030_m,ヒューリアがあのような状態になってしまい、\n加護の魔法は、どんどん弱まってきている。,بما أن هيوريا قد أصبحت في تلك الحالة،\nفإن سحر البركة يضعف باستمرار.,dialogue,,"ヒューリア,魔法,加護",
EL_S04_N08_6000_M420_PCM000_m,ああ、ヒューリアの体力が尽きる前に……\n一刻も早く、魔法を解く方法を見つけ出そう！,أجل، قبل أن تنفد طاقة هيوريا...\nدعونا نجد طريقة لفك هذا السحر في أسرع وقت ممكن!,dialogue,,"ヒューリア,魔法,体力",
EL_M02_E01_1000_Summary,カイフリードを追って、時の扉にたどり着いた\nエリオットは、意を決して扉をくぐる。,بعد مطاردة كايفرايد والوصول إلى باب الزمن،\nيحسم إليوت أمره ويعبر الباب.,dialogue,,"エリオット,カイフリード,時の扉",
EL_M05_SA3MGC_E03_1000,屋敷を出たエリオットとファウスタ\nファウスタは引き続きヒルデブラントの動向を探る,يغادر إليوت وفاوستا القصر.\nوتستمر فاوستا في مراقبة تحركات هيلدبراند.,dialogue,,"エリオット,ヒルデブラント,ファウスタ",
EL_NPC0530_P010_M010_NPC0530_n,リュドミラと人間の間に生まれたマオの魔力は、\n普通のミュー族より、はるかに強い。,القوة السحرية لماو، المولودة لليودميلا وبشري،\nأقوى بكثير من أفراد عرق ميو العاديين.,dialogue,,"マオ,ミュー,リュドミラ",
EL_SPS02_N21_1000_A_M01_FYL000_f,魔法生物の部品を探しにいこう！\n再建の時代か加護の時代なら、手に入りそうだよね。,لنذهب ونبحث عن قطع المخلوق السحري!\nيبدو أننا سنعثر عليها في عصر إعادة الإعمار أو عصر البركة.,dialogue,,"魔法,再建,加護",
